crop,area,rainfall,temperature,humidity,fertilizer,season,yield
Maize,5.77,189.49,20.21,93.37,200.23,Rabi,5.123
Tea,7.35,271.05,16.47,74.74,248.13,Kharif,1.198
Wheat,10.14,127.03,13.45,36.56,220.19,Kharif,2.243
Rice,11.38,160.23,22.86,77.63,165.66,Rabi,2.403
Sugarcane,18.89,49.05,33.37,83.69,123.97,Zaid,45.215
Soybean,19.31,30.97,10.72,56.97,158.07,Zaid,0.762
Rice,1.75,99.14,38.04,91.86,22.46,Zaid,1.347
Maize,5.54,30.05,13.2,86.36,10.76,Rabi,2.015
Maize,1.86,171.8,17.96,78.33,162.44,Zaid,4.431
Pulses,19.3,26.06,12.55,91.84,139.25,Rabi,0.519
Pulses,4.33,186.74,21.32,45.53,189.79,Kharif,0.948
Rice,16.87,306.34,32.26,33.16,177.17,Kharif,1.87
Sugarcane,15.89,325.8,13.22,44.88,128.01,Rabi,47.543
Soybean,17.65,175.36,32.39,61.49,235.95,Kharif,1.39
Wheat,4.44,162.46,22.69,47.33,47.96,Rabi,3.431
Tea,13.08,185.85,37.97,38.49,9.29,Zaid,0.822
Pulses,12.74,294.06,31.45,74.58,218.38,Zaid,0.708
Pulses,2.55,138.25,18.13,53.75,55.04,Rabi,0.881
Rice,7.17,162.57,12.91,60.02,240.75,Kharif,1.965
Cotton,4.96,321.98,24.3,88.25,24.42,Kharif,1.279
Wheat,15.61,32.37,30.74,43.26,139.25,Kharif,2.094
Soybean,17.54,280.99,27.07,69.6,28.12,Rabi,1.296
Wheat,2.98,190.03,24.72,46.48,135.21,Kharif,3.281
Maize,13.41,65.08,30.91,31.61,113.13,Rabi,3.815
Tea,18.58,350.76,25.27,51.2,228.04,Rabi,1.259
Soybean,17.39,54.25,20.95,42.62,82.12,Kharif,1.186
Wheat,16.81,245.39,20.79,70.52,85.38,Rabi,3.256
Tea,7.43,201.86,37.59,42.14,196.84,Rabi,1.113
Tea,6.23,270.05,33.52,57.51,34.63,Kharif,1.397
Rice,19.99,218.09,24.69,38.74,91.54,Zaid,2.214
Cotton,13.04,204.49,23.33,45.38,205.04,Rabi,1.639
Wheat,10.6,328.9,14.5,53.41,208.9,Zaid,1.786
Maize,10.24,178.53,11.98,81.64,140.95,Zaid,4.264
Rice,6.71,312.06,35.59,60.57,178.44,Zaid,1.711
Soybean,5.02,216.39,12.67,37.49,27.54,Zaid,0.919
Sugarcane,3.67,322.74,39.18,76.13,230.77,Kharif,56.156
Rice,19.69,269.11,32.94,82.67,40.83,Rabi,1.974
Sugarcane,1.8,79.62,19.92,62.03,1.57,Zaid,32.154
Rice,13.66,281.58,16.13,60.59,202.24,Kharif,1.885
Sugarcane,18.76,394.82,32.72,33.07,73.24,Zaid,45.708
Rice,7.05,165.94,24.76,60.23,78.68,Zaid,2.829
Maize,6.58,85.76,32.26,77.77,165.93,Rabi,4.994
Pulses,8.29,114.17,15.99,34.1,80.57,Kharif,0.772
Maize,15.23,23.22,32.93,58.1,20.76,Rabi,2.78
Soybean,5.5,314.77,32.71,93.95,177.47,Kharif,1.337
Tea,1.32,117.11,14.24,60.65,185.86,Rabi,1.369
Pulses,12.6,332.18,29.06,52.57,223.88,Rabi,0.639
Soybean,1.96,314.89,31.46,46.88,213.54,Zaid,1.054
Soybean,1.72,153.13,21.95,92.15,93.19,Zaid,1.454
Rice,2.08,335.84,18.19,79.07,201.17,Zaid,1.816
Sugarcane,0.58,365.08,34.12,91.25,25.17,Rabi,43.779
Tea,8.28,234.75,20.21,49.45,77.69,Kharif,1.731
Pulses,6.77,376.46,30.28,32.45,104.81,Rabi,0.739
Sugarcane,5.92,72.81,36.17,33.4,219.29,Kharif,39.034
Maize,11.58,53.73,30.73,60.07,170.95,Zaid,3.676
Tea,15.68,290.21,21.03,56.43,124.08,Rabi,1.563
Wheat,11.48,311.52,15.19,34.43,35.68,Zaid,1.931
Cotton,3.84,32.9,37.2,36.71,58.69,Rabi,1.18
Maize,19.72,241.16,26.04,36.4,79.29,Kharif,5.942
Soybean,3.0,145.58,35.93,82.8,81.64,Kharif,1.824
Soybean,1.57,376.92,30.74,76.31,88.02,Kharif,1.592
Wheat,4.83,71.17,12.13,36.14,192.46,Zaid,1.472
Sugarcane,2.36,56.02,15.97,59.77,194.55,Rabi,45.158
Maize,16.39,343.61,38.48,90.97,15.57,Zaid,2.854
Cotton,6.29,390.13,27.99,40.8,179.1,Kharif,1.426
Tea,6.16,232.17,17.55,72.3,207.06,Kharif,1.385
Soybean,13.17,334.64,21.94,32.19,226.13,Kharif,1.241
Cotton,4.19,265.73,27.45,59.73,41.07,Kharif,1.731
Cotton,12.72,292.53,29.5,52.29,139.94,Kharif,1.99
Cotton,14.36,147.22,30.48,74.01,103.97,Rabi,1.894
Wheat,12.52,256.38,10.38,52.76,7.01,Kharif,1.671
Tea,2.03,385.01,22.59,43.06,32.43,Rabi,1.081
Cotton,2.82,344.22,28.73,46.38,49.28,Kharif,1.583
Pulses,16.54,310.29,25.03,58.69,66.58,Kharif,1.013
Pulses,10.65,310.03,31.97,44.02,103.98,Zaid,0.706
Sugarcane,4.28,324.94,38.18,87.21,100.99,Kharif,60.375
Maize,1.16,34.13,14.44,57.52,242.91,Zaid,2.318
Maize,16.74,36.34,22.26,79.31,0.43,Kharif,2.678
Soybean,6.81,354.83,23.76,77.18,5.74,Rabi,0.935
Cotton,4.41,300.73,35.7,39.53,124.03,Kharif,1.589
Wheat,16.36,333.07,12.28,88.09,12.11,Rabi,1.493
Tea,5.28,111.16,14.89,77.47,22.59,Rabi,1.042
Maize,15.84,345.46,14.18,87.41,161.66,Kharif,3.988
Tea,11.72,139.87,11.19,90.39,113.01,Zaid,1.162
Maize,7.18,280.22,15.43,60.1,184.46,Kharif,4.534
Maize,2.88,20.21,26.09,85.46,227.29,Kharif,3.438
Wheat,11.89,25.37,37.22,45.64,225.59,Zaid,1.414
Rice,5.64,269.25,22.17,46.73,20.66,Kharif,1.685
Pulses,6.35,187.51,13.66,58.94,28.09,Kharif,0.726
Cotton,2.47,211.48,22.06,81.3,49.56,Kharif,1.873
Soybean,0.92,355.49,16.08,85.73,53.08,Kharif,1.219
Wheat,0.69,377.34,18.64,90.8,159.58,Rabi,2.308
Tea,7.9,298.35,16.97,92.09,104.26,Zaid,1.107
Rice,17.37,335.23,32.14,32.43,201.22,Zaid,1.423
Tea,12.71,239.63,18.38,44.68,127.84,Kharif,1.514
Rice,14.17,266.81,36.14,73.81,242.52,Rabi,2.048
Cotton,14.89,149.2,14.83,41.21,212.67,Kharif,1.334
Cotton,8.23,397.7,14.57,87.29,36.89,Zaid,0.979
Rice,18.98,63.47,11.58,51.49,230.08,Rabi,1.382
Maize,3.32,282.92,32.29,51.47,72.68,Zaid,5.18
Cotton,6.13,74.05,33.7,52.11,35.32,Zaid,1.235
Soybean,6.39,285.14,20.63,39.85,148.86,Rabi,1.554
Wheat,8.3,43.82,35.24,94.85,60.4,Rabi,2.274
Maize,15.57,56.62,16.47,73.97,101.57,Zaid,3.731
Maize,18.84,212.86,27.51,92.32,228.03,Kharif,5.056
Sugarcane,19.65,236.84,35.0,46.36,196.09,Kharif,60.223
Cotton,18.11,126.66,24.27,41.9,193.9,Zaid,1.374
Wheat,2.68,218.05,29.39,80.13,191.64,Zaid,2.606
Tea,18.54,90.18,11.87,69.96,237.48,Kharif,0.97
Rice,11.0,382.66,12.6,60.12,14.6,Rabi,1.107
Tea,6.85,218.79,18.5,73.45,69.03,Kharif,1.487
Pulses,14.83,185.17,29.91,30.71,246.38,Zaid,0.559
Wheat,11.36,389.96,38.74,58.89,215.98,Zaid,1.805
Pulses,6.89,327.74,30.8,39.28,82.02,Rabi,0.82
Wheat,16.83,220.77,34.83,38.57,149.05,Kharif,3.31
Rice,6.28,218.09,17.98,42.2,143.33,Zaid,1.955
Sugarcane,2.07,387.59,16.0,36.83,246.39,Zaid,30.921
Sugarcane,16.2,391.54,13.39,76.78,209.59,Rabi,46.9
Cotton,3.12,310.25,22.81,39.28,140.25,Rabi,1.676
Pulses,7.39,291.25,14.87,85.94,210.85,Kharif,0.673
Tea,14.47,126.22,32.07,62.15,51.86,Kharif,1.834
Cotton,11.53,250.7,23.07,52.53,178.63,Kharif,1.812
Sugarcane,11.37,174.11,31.07,53.65,170.33,Kharif,73.008
Soybean,19.74,243.55,27.16,69.71,126.63,Rabi,2.273
Rice,7.47,230.67,21.67,90.13,210.42,Kharif,2.267
Sugarcane,11.78,77.46,13.25,63.92,45.85,Zaid,47.705
Wheat,6.72,235.51,18.66,41.17,205.01,Rabi,2.359
Wheat,10.44,194.55,19.73,41.55,31.78,Rabi,2.219
Cotton,3.34,394.82,38.54,34.75,45.13,Kharif,1.247
Sugarcane,11.6,377.29,27.31,61.99,221.86,Zaid,45.086
Rice,14.27,89.51,34.16,34.46,232.44,Rabi,1.56
Wheat,12.69,356.09,18.6,57.54,62.64,Rabi,2.917
Cotton,5.3,177.14,32.99,58.84,151.44,Zaid,1.624
Tea,16.5,187.98,39.23,93.5,165.95,Kharif,1.534
Soybean,9.71,182.5,29.43,53.26,85.63,Kharif,1.611
Maize,7.71,385.59,14.22,48.69,138.43,Zaid,3.462
Maize,16.85,394.62,39.12,31.84,43.62,Zaid,2.733
Cotton,11.31,156.13,13.66,58.14,142.32,Zaid,1.542
Cotton,13.44,187.86,37.73,64.06,242.56,Rabi,1.432
Rice,14.34,217.57,15.65,30.25,224.99,Zaid,1.396
Pulses,1.93,55.29,20.53,83.02,150.94,Kharif,0.762
Maize,15.25,258.01,25.37,71.4,226.12,Rabi,4.689
Soybean,16.4,118.12,28.06,38.53,79.13,Zaid,1.416
Rice,12.37,122.72,36.92,37.1,47.12,Zaid,1.75
Pulses,13.27,167.4,36.54,46.39,238.17,Rabi,0.659
Tea,4.92,116.48,19.96,85.96,29.45,Zaid,0.908
Maize,10.01,133.9,32.51,48.95,129.09,Kharif,6.768
Rice,8.9,63.13,33.26,68.08,208.85,Rabi,1.747
Tea,1.09,66.01,34.88,87.82,169.05,Zaid,1.013
Cotton,14.83,45.33,13.74,54.28,192.67,Kharif,1.023
Rice,18.37,306.5,19.98,76.15,243.16,Zaid,1.706
Maize,15.36,136.65,30.27,56.03,208.28,Kharif,5.79
Soybean,18.59,256.87,34.04,69.12,2.59,Zaid,0.816
Maize,3.79,66.86,13.58,60.85,151.78,Rabi,3.436
Cotton,16.63,149.82,16.07,39.41,185.82,Rabi,1.61
Tea,15.02,69.88,15.79,37.7,207.52,Rabi,0.859
Sugarcane,0.62,300.77,11.78,54.22,166.29,Kharif,58.58
Maize,5.67,112.8,13.79,84.8,169.22,Kharif,4.733
Soybean,1.39,276.61,22.28,60.37,60.24,Zaid,1.499
Rice,1.58,368.91,12.34,85.41,168.44,Zaid,1.389
Wheat,2.27,134.74,20.1,84.16,22.34,Zaid,2.205
Pulses,12.69,256.08,36.66,55.79,210.26,Zaid,0.709
Cotton,15.88,87.61,24.0,74.85,163.87,Rabi,1.678
Pulses,7.32,245.95,11.06,92.22,224.93,Rabi,0.538
Cotton,1.97,338.65,16.29,76.23,158.9,Rabi,1.384
Sugarcane,13.39,349.89,39.32,91.09,116.51,Rabi,58.311
Cotton,1.69,349.63,11.01,63.73,156.98,Rabi,1.258
Sugarcane,5.3,385.93,36.99,38.22,152.13,Kharif,47.938
Pulses,1.66,395.28,16.82,77.11,238.82,Kharif,0.632
Pulses,7.37,68.13,16.07,66.13,108.15,Rabi,0.741
Pulses,19.09,49.29,13.36,69.71,58.18,Zaid,0.565
Sugarcane,17.15,372.62,20.68,84.45,25.17,Rabi,45.803
Wheat,17.19,125.05,28.88,53.7,16.91,Rabi,2.632
Cotton,11.18,275.49,35.4,38.81,126.15,Kharif,1.686
Sugarcane,5.87,22.25,19.23,62.55,38.18,Rabi,49.401
Rice,12.43,200.89,36.11,94.73,54.96,Rabi,2.584
Rice,13.78,161.51,35.71,31.73,230.04,Kharif,1.759
Rice,7.91,153.52,11.95,58.77,249.61,Rabi,1.557
Soybean,14.65,40.15,25.58,47.54,231.16,Kharif,1.074
Pulses,13.43,242.32,39.55,44.34,153.32,Rabi,0.835
Tea,19.26,291.96,15.3,56.96,148.39,Zaid,1.244
Soybean,11.69,347.35,37.07,36.17,164.61,Rabi,1.146
Cotton,15.29,224.32,14.56,88.41,207.05,Zaid,1.304
Rice,17.28,338.03,20.41,35.31,2.52,Zaid,1.013
Wheat,1.71,306.29,13.4,93.2,122.19,Rabi,2.364
Soybean,7.58,388.83,26.39,74.11,145.98,Rabi,1.461
Cotton,4.68,180.66,32.12,68.49,42.33,Rabi,2.025
Wheat,12.21,176.93,18.77,81.0,243.05,Zaid,2.139
Maize,4.33,316.99,10.51,57.69,106.19,Zaid,3.829
Cotton,19.78,231.95,18.78,42.13,239.1,Rabi,1.437
Soybean,0.85,273.4,26.25,39.81,187.87,Rabi,1.376
Tea,12.63,44.91,37.59,48.22,65.37,Kharif,1.06
Pulses,2.56,335.03,25.03,64.35,74.97,Rabi,0.766
Soybean,17.69,241.66,29.65,91.66,204.68,Zaid,1.223
Cotton,16.15,327.21,38.06,64.12,225.66,Rabi,1.217
Maize,11.84,117.21,17.54,50.63,138.67,Kharif,6.03
Wheat,2.77,359.28,25.04,82.35,129.5,Zaid,2.499
Wheat,13.96,210.84,17.15,56.72,92.15,Zaid,2.799
Tea,0.72,25.24,28.66,33.59,195.56,Kharif,0.912
Soybean,5.49,253.67,19.62,35.7,60.98,Kharif,1.411
Pulses,6.5,41.67,39.28,41.59,225.48,Rabi,0.472
Cotton,17.43,370.47,27.66,52.1,118.53,Zaid,1.501
Cotton,1.25,309.04,11.22,56.71,100.28,Kharif,1.47
Soybean,14.41,374.29,33.36,91.03,4.49,Rabi,0.756
Cotton,5.76,202.67,13.42,94.99,204.38,Kharif,1.298
Wheat,12.11,241.47,28.5,51.14,18.76,Rabi,2.639
Pulses,15.49,260.62,24.93,60.91,40.48,Kharif,0.919
Wheat,19.84,344.23,28.31,89.24,15.25,Rabi,2.09
Pulses,11.07,327.39,34.01,46.75,136.5,Kharif,0.812
Sugarcane,16.47,106.63,25.55,45.49,115.97,Rabi,66.688
Rice,7.3,228.48,14.4,58.4,65.28,Zaid,2.29
Rice,3.05,150.51,25.39,73.33,26.48,Kharif,2.458
Rice,13.68,357.21,28.19,35.22,173.31,Zaid,1.495
Wheat,5.54,75.47,26.21,84.52,184.59,Kharif,2.577
Tea,6.33,155.67,16.24,43.21,246.76,Rabi,1.171
Tea,8.48,323.54,12.54,53.84,155.29,Zaid,1.137
Sugarcane,3.54,261.42,25.29,49.61,44.05,Kharif,66.19
Rice,11.9,82.7,15.56,74.21,19.57,Zaid,1.411
Maize,7.55,253.54,19.97,66.55,215.77,Zaid,4.717
Soybean,17.68,379.52,38.83,77.51,36.54,Zaid,1.119
Tea,10.83,194.99,38.73,87.91,214.22,Zaid,1.097
Tea,10.26,187.18,17.64,41.74,16.93,Zaid,0.86
Maize,2.78,32.53,35.31,69.14,41.42,Zaid,3.411
Rice,1.55,122.48,23.2,38.65,129.15,Zaid,1.996
Pulses,10.62,299.68,37.09,86.92,40.25,Zaid,0.614
Tea,9.45,182.66,34.39,85.26,106.12,Zaid,1.359
Wheat,16.48,349.51,38.33,50.37,177.41,Kharif,2.292
Cotton,13.21,94.33,15.82,73.61,121.55,Kharif,1.916
Maize,12.35,211.57,23.85,71.23,95.62,Kharif,7.754
Wheat,8.96,110.61,18.72,44.39,124.09,Rabi,2.745
Wheat,6.55,39.18,20.32,80.83,25.1,Rabi,1.962
Pulses,2.58,138.91,39.32,57.58,246.59,Kharif,0.767
Pulses,17.91,300.81,24.28,51.9,173.33,Rabi,0.9
Cotton,4.05,289.33,35.47,67.82,140.57,Zaid,1.456
Soybean,11.19,337.4,23.67,41.05,220.05,Rabi,1.085
Rice,17.29,253.81,26.27,64.26,217.23,Zaid,1.928
Tea,6.18,375.93,23.13,65.27,25.75,Zaid,0.951
Maize,18.03,27.95,32.15,47.6,47.13,Zaid,3.021
Maize,4.2,389.57,24.67,48.15,78.71,Rabi,4.503
Cotton,10.58,381.24,37.28,49.3,7.63,Kharif,0.955
Pulses,11.82,127.95,18.09,51.03,10.59,Zaid,0.501
Soybean,7.5,298.01,12.91,57.68,104.79,Kharif,1.286
Rice,8.9,131.61,28.93,35.99,108.43,Kharif,2.328
Pulses,2.23,352.92,33.54,73.4,149.98,Kharif,0.881
Maize,14.34,381.96,11.98,62.87,155.11,Rabi,4.03
Wheat,3.03,230.74,35.13,93.09,4.44,Rabi,1.989
Rice,12.45,115.17,24.49,94.06,129.87,Kharif,2.421
Wheat,13.01,168.22,33.41,83.57,223.13,Kharif,2.75
Maize,19.68,147.3,39.47,94.06,168.01,Zaid,4.047
Soybean,0.62,243.07,16.41,61.39,53.17,Zaid,1.422
Rice,11.66,158.16,26.2,66.93,56.37,Kharif,2.824
Maize,10.85,178.14,30.93,59.43,210.15,Zaid,4.993
Wheat,17.96,227.72,30.88,48.87,100.0,Kharif,3.794
Rice,2.63,232.96,33.63,32.11,21.02,Zaid,1.314
Soybean,11.42,290.35,28.46,39.72,173.3,Rabi,1.242
Pulses,8.52,334.65,30.19,34.45,118.63,Kharif,0.753
Cotton,4.41,275.54,21.04,42.22,217.17,Rabi,1.413
Pulses,14.51,267.95,21.89,68.4,184.3,Zaid,0.812
Pulses,5.87,119.31,33.94,41.46,72.21,Rabi,0.788
Sugarcane,17.16,337.9,17.0,58.62,118.18,Zaid,58.214
Tea,17.31,361.61,18.85,34.62,156.16,Kharif,1.062
Soybean,8.08,239.06,29.53,50.22,17.84,Kharif,1.405
Maize,18.15,278.49,13.43,37.6,39.61,Zaid,3.129
Soybean,9.31,137.19,13.81,78.92,108.36,Zaid,1.297
Cotton,12.3,308.37,33.95,72.09,195.46,Rabi,1.479
Tea,14.29,267.99,33.89,77.4,177.05,Rabi,1.244
Soybean,15.39,136.58,36.05,91.33,210.19,Rabi,1.212
Wheat,18.4,183.36,37.4,38.56,171.64,Zaid,2.236
Wheat,8.23,113.61,31.23,46.33,216.18,Rabi,2.649
Maize,19.87,242.24,22.11,66.82,235.3,Kharif,5.484
Wheat,19.4,204.41,25.84,57.12,46.72,Rabi,3.411
Tea,14.2,267.51,37.63,84.71,69.37,Rabi,1.411
Tea,6.3,55.44,38.88,85.95,65.98,Rabi,1.123
Pulses,10.94,203.31,35.49,59.39,131.25,Kharif,1.062
Maize,10.78,209.12,39.38,82.11,41.65,Kharif,5.793
Maize,9.41,112.15,36.88,82.59,214.83,Zaid,3.802
Cotton,17.56,115.62,19.64,49.8,187.47,Kharif,1.574
Pulses,8.75,146.6,15.69,39.49,31.93,Kharif,0.75
Cotton,16.53,201.11,35.21,84.83,182.92,Rabi,1.565
Tea,17.63,103.73,19.36,52.03,99.92,Rabi,1.454
Pulses,13.56,344.86,23.76,92.89,78.24,Rabi,0.756
Cotton,18.52,211.64,27.11,83.59,141.01,Rabi,2.005
Wheat,3.8,133.61,17.12,90.3,69.82,Kharif,3.18
Sugarcane,0.95,256.0,33.01,91.0,231.98,Rabi,48.18
Tea,13.68,147.12,32.23,31.27,202.26,Rabi,1.233
Sugarcane,0.58,364.99,25.6,38.96,122.15,Kharif,65.503
Cotton,13.44,174.92,21.08,58.11,185.64,Zaid,1.576
Rice,3.38,397.14,12.97,44.34,80.66,Rabi,1.594
Wheat,17.23,330.6,25.88,58.46,180.91,Zaid,2.514
Maize,3.46,195.64,28.66,64.54,167.49,Zaid,5.018
Rice,13.53,241.23,16.18,76.65,94.75,Kharif,2.35
Wheat,1.63,168.21,35.97,45.62,220.82,Kharif,2.776
Pulses,14.81,195.36,23.92,73.27,139.42,Kharif,1.121
Sugarcane,3.28,359.47,20.22,32.43,45.87,Rabi,48.212
Maize,12.95,250.73,15.62,66.19,62.39,Zaid,4.35
Soybean,1.65,33.63,21.56,46.99,106.07,Zaid,1.081
Tea,8.55,299.9,11.05,37.33,226.47,Kharif,0.828
Rice,7.68,20.79,38.57,62.41,82.08,Rabi,1.627
Soybean,2.02,38.24,12.15,62.51,77.34,Kharif,1.012
Wheat,19.05,330.91,30.89,37.46,176.83,Rabi,2.589
Soybean,3.51,94.09,35.73,48.31,26.62,Rabi,1.026
Pulses,3.53,351.49,32.71,75.72,80.43,Rabi,0.708
Soybean,2.95,251.03,23.75,78.7,140.65,Kharif,2.089
Cotton,2.42,32.23,33.61,36.94,64.2,Kharif,1.16
Sugarcane,7.97,246.73,11.69,73.96,147.79,Rabi,60.189
Soybean,15.29,262.9,20.19,70.89,152.66,Rabi,1.648
Maize,9.2,81.23,11.07,46.21,178.35,Rabi,3.585
Wheat,3.65,95.95,21.01,50.6,248.97,Rabi,2.304
Tea,17.68,159.16,30.03,71.79,102.2,Kharif,1.787
Wheat,3.75,208.15,38.22,57.94,215.56,Zaid,2.415
Cotton,1.02,182.4,19.88,39.79,94.77,Kharif,1.724
Rice,14.63,221.99,25.95,71.24,212.36,Kharif,2.313
Rice,8.63,249.16,26.35,52.28,76.03,Kharif,3.408
Wheat,12.46,105.26,35.32,37.96,220.29,Rabi,2.188
Sugarcane,19.86,378.01,28.56,92.61,101.0,Zaid,53.206
Sugarcane,1.12,35.76,14.52,86.78,106.03,Rabi,43.671
Cotton,14.13,273.05,36.54,35.45,144.75,Rabi,1.473
Wheat,19.06,114.89,32.16,34.09,227.25,Zaid,1.944
Soybean,2.94,30.55,12.05,84.03,75.05,Zaid,0.876
Wheat,18.79,374.22,11.91,50.33,148.29,Kharif,2.487
Cotton,6.69,66.19,25.99,30.04,218.56,Zaid,0.975
Rice,16.99,176.4,24.43,41.81,80.33,Kharif,2.568
Pulses,16.1,367.58,19.89,89.46,156.06,Zaid,0.608
Tea,13.45,207.9,27.41,58.59,124.28,Zaid,1.541
Soybean,9.62,160.92,11.43,47.98,102.09,Kharif,1.479
Tea,12.93,239.98,39.31,92.46,65.34,Kharif,1.512
Cotton,1.17,258.89,23.25,65.21,56.96,Kharif,2.125
Pulses,2.45,236.11,26.48,90.26,19.29,Kharif,0.657
Cotton,9.71,112.37,14.87,78.55,140.88,Rabi,1.557
Cotton,14.48,166.65,22.64,31.91,179.34,Rabi,1.508
Tea,7.37,283.67,27.24,52.23,183.68,Zaid,1.176
Cotton,3.51,197.08,25.48,43.45,33.12,Kharif,1.54
Pulses,8.79,210.3,17.24,53.04,31.53,Rabi,0.754
Wheat,14.58,282.36,15.79,77.56,68.68,Kharif,2.809
Rice,19.92,66.27,26.28,34.34,163.34,Kharif,1.957
Wheat,15.03,299.46,34.54,77.27,203.27,Zaid,2.122
Maize,11.05,269.98,38.75,90.21,50.11,Zaid,4.217
Rice,13.33,316.31,17.12,51.62,238.42,Kharif,1.968
Rice,4.33,152.58,29.41,46.23,57.44,Rabi,3.076
Wheat,9.51,103.73,17.68,70.12,159.41,Zaid,2.547
Rice,8.76,382.45,13.09,70.64,110.42,Kharif,1.922
Tea,0.94,279.36,19.42,41.47,5.14,Rabi,0.819
Wheat,0.72,70.72,24.02,57.9,25.48,Kharif,2.367
Rice,14.9,194.35,10.45,40.61,184.98,Rabi,1.594
Tea,13.46,214.19,30.7,34.49,197.59,Zaid,1.084
Tea,1.58,130.76,16.74,67.26,236.42,Kharif,1.219
Rice,6.71,74.57,33.87,61.98,110.47,Rabi,2.249
Soybean,5.24,181.26,36.64,90.5,129.82,Kharif,1.417
Soybean,17.74,232.12,28.11,94.57,142.35,Kharif,1.821
Tea,9.45,165.04,10.01,55.62,77.85,Rabi,1.351
Rice,5.92,234.54,15.74,74.0,53.88,Kharif,2.735
Soybean,8.14,228.24,20.18,73.97,116.96,Zaid,1.481
Maize,17.74,100.37,37.45,36.47,27.27,Rabi,3.448
Soybean,8.65,340.34,34.62,34.74,231.88,Zaid,0.847
Tea,15.19,108.07,29.92,87.92,211.98,Rabi,1.18
Tea,2.85,262.12,11.56,71.27,110.88,Zaid,1.222
Tea,19.56,234.01,29.17,92.28,204.51,Rabi,1.334
Maize,3.99,92.76,14.95,31.46,101.63,Zaid,3.3
Pulses,14.67,179.71,21.37,93.3,161.04,Kharif,0.891
Cotton,14.81,370.2,20.83,46.17,25.2,Kharif,1.229
Maize,18.94,303.11,38.56,89.03,128.79,Rabi,4.36
Sugarcane,13.54,143.93,33.24,79.23,147.18,Kharif,84.567
Pulses,3.57,312.65,33.61,91.09,145.3,Zaid,0.66
Tea,19.53,157.97,39.22,71.95,182.73,Rabi,1.362
Sugarcane,8.29,69.98,22.96,72.63,17.81,Kharif,54.414
Rice,15.32,399.59,11.22,71.98,9.67,Kharif,1.139
Sugarcane,19.1,252.79,19.05,87.95,103.81,Kharif,76.239
Rice,19.44,59.34,29.89,76.15,73.63,Rabi,1.876
Cotton,1.83,231.81,29.81,64.02,47.99,Rabi,1.819
Cotton,15.53,133.14,15.52,53.63,0.82,Zaid,1.011
Rice,12.56,169.13,18.08,92.12,11.32,Zaid,1.39
Wheat,4.67,137.81,39.18,76.45,125.63,Rabi,3.622
Cotton,0.55,259.31,36.17,92.83,8.98,Rabi,1.074
Wheat,9.77,257.09,15.76,62.72,218.18,Zaid,2.266
Maize,10.68,266.6,27.78,84.99,120.96,Rabi,5.414
Tea,19.79,98.73,23.33,51.89,52.91,Rabi,1.658
Tea,3.45,275.91,29.05,53.19,137.26,Kharif,1.464
Rice,0.57,214.7,21.36,35.43,207.07,Zaid,1.696
Sugarcane,17.81,254.2,27.52,75.8,242.75,Rabi,59.889
Sugarcane,5.61,50.3,10.91,55.92,155.52,Rabi,44.698
Rice,16.93,37.12,30.18,72.56,25.44,Rabi,1.381
Tea,6.19,65.89,27.6,41.41,102.02,Zaid,1.034
Rice,8.1,250.86,34.36,51.81,87.39,Kharif,2.581
Cotton,18.54,133.24,19.19,93.75,2.58,Zaid,0.862
Rice,6.65,203.62,10.74,50.07,159.93,Rabi,2.005
Wheat,8.07,48.61,29.95,84.46,231.02,Kharif,2.097
Soybean,3.4,379.96,17.49,56.96,68.78,Rabi,1.202
Rice,17.34,252.55,16.18,40.73,90.45,Kharif,2.172
Pulses,11.16,152.5,27.61,82.24,203.55,Rabi,0.823
Maize,2.52,313.44,32.8,62.5,90.93,Zaid,4.125
Rice,5.33,71.56,26.91,77.26,167.78,Rabi,1.955
Sugarcane,2.81,341.69,23.5,89.17,105.46,Kharif,68.717
Pulses,12.45,383.81,37.69,43.28,209.28,Kharif,0.606
Pulses,2.51,225.15,22.75,60.61,204.65,Kharif,0.994
Soybean,2.44,96.74,10.72,85.83,107.86,Zaid,1.104
Rice,10.99,357.69,12.68,85.0,153.09,Zaid,1.542
Rice,17.44,398.7,32.14,46.29,247.95,Zaid,1.323
Tea,17.87,260.96,26.56,83.83,120.9,Kharif,1.611
Rice,1.33,84.97,19.72,67.33,166.4,Zaid,1.841
Rice,19.11,88.17,24.0,47.11,88.77,Rabi,2.104
Pulses,1.41,353.76,21.6,57.83,222.51,Rabi,0.714
Rice,6.57,50.86,31.7,57.07,229.54,Rabi,1.596
Pulses,0.61,94.67,32.6,79.92,45.56,Kharif,0.851
Maize,2.14,237.58,31.06,49.78,72.08,Zaid,4.828
Tea,17.5,244.05,17.58,67.74,168.09,Rabi,1.392
Maize,2.14,309.7,15.08,30.06,172.29,Rabi,3.726
Rice,4.01,347.14,17.84,49.64,183.18,Zaid,1.45
Wheat,16.77,270.94,28.52,90.21,225.53,Kharif,2.586
Wheat,3.86,268.34,39.35,51.05,32.84,Rabi,2.22
Maize,9.87,21.04,33.48,66.96,180.26,Kharif,3.723
Tea,15.6,173.02,39.05,77.6,216.75,Kharif,1.457
Wheat,15.79,321.97,35.44,65.1,62.39,Zaid,2.648
Tea,14.93,192.92,15.33,60.11,2.0,Rabi,0.886
