N,P,K,temperature,humidity,ph,rainfall,label
44,35,32,26.21,45.16,6.05,77.5,mango
29,34,38,29.49,65.82,4.82,141.3,mango
92,27,8,26.17,88.6,6.09,182.03,coffee
118,20,45,30.14,85.97,6.12,83.87,watermelon
73,51,36,25.77,47.84,6.71,84.01,wheat
156,59,52,23.46,78.02,7.08,72.74,cotton
81,34,26,25.05,76.76,5.84,132.65,jute
30,79,42,26.53,59.3,6.21,21.09,mothbeans
58,71,22,27.54,68.75,6.94,73.72,mothbeans
51,39,45,27.35,83.13,7.43,109.46,papaya
57,50,48,29.45,81.69,6.07,115.25,papaya
27,29,212,27.81,87.24,6.18,80.54,orange
29,26,48,28.83,66.84,5.67,123.22,mango
6,51,24,21.47,50.82,6.26,5.47,mothbeans
102,58,39,23.84,73.0,7.72,208.23,rice
114,16,47,26.59,78.77,6.28,48.24,watermelon
114,17,29,28.47,53.54,6.42,78.11,coffee
26,147,179,21.6,75.58,6.31,93.5,grapes
4,81,17,27.81,63.93,5.89,80.62,lentil
1,22,18,32.03,92.42,6.18,159.32,coconut
1,68,12,21.42,67.8,6.85,48.33,mungbean
1,50,42,19.32,59.11,6.02,100.79,pigeonpeas
104,5,50,28.16,83.76,6.86,57.48,watermelon
25,56,60,23.69,66.25,6.31,69.38,kidneybeans
104,28,0,21.79,86.36,7.47,159.18,coffee
113,52,47,24.75,85.44,5.92,83.39,cotton
33,130,204,24.64,88.99,6.84,79.82,grapes
28,55,17,28.1,67.15,6.44,89.92,blackgram
77,39,23,25.78,97.28,5.8,219.07,rice
80,25,39,19.09,87.36,6.68,181.5,rice
115,30,28,21.14,73.76,6.2,206.02,coffee
22,53,14,30.53,46.59,5.23,29.32,mungbean
78,20,17,23.0,90.35,6.59,196.22,coffee
155,57,58,27.52,80.14,6.9,102.95,cotton
39,48,45,31.62,81.2,6.1,148.56,papaya
21,75,22,24.91,55.37,5.96,37.03,mungbean
22,22,34,31.68,56.9,5.39,66.54,mango
0,6,199,21.35,91.14,6.75,116.77,orange
11,69,27,23.7,49.54,6.71,44.22,mothbeans
79,47,61,25.47,70.88,6.83,134.34,maize
17,90,18,27.94,51.14,7.05,84.0,mungbean
57,94,20,25.16,95.87,6.43,93.58,pomegranate
41,60,16,26.31,55.78,6.5,54.97,lentil
46,90,77,17.46,44.78,6.46,55.38,chickpea
22,39,42,26.29,43.21,5.71,158.23,pigeonpeas
73,50,38,29.37,71.01,6.19,127.1,jute
31,52,15,23.88,51.21,7.4,23.66,lentil
98,67,42,19.74,58.68,6.46,145.33,wheat
32,51,42,24.01,67.22,6.44,169.02,pigeonpeas
20,77,22,27.93,84.41,6.41,124.81,pomegranate
36,70,43,20.98,57.96,5.94,161.45,pigeonpeas
34,64,95,21.67,41.11,7.12,87.46,chickpea
14,47,17,27.62,37.78,5.97,53.16,mothbeans
99,54,31,27.65,82.93,7.09,206.69,rice
0,36,34,25.29,42.47,4.5,164.28,pigeonpeas
75,54,62,24.72,85.81,6.78,60.98,maize
0,13,209,26.52,94.6,6.25,117.86,orange
96,53,16,24.9,91.46,6.35,120.54,coffee
32,49,29,23.3,90.66,6.89,150.2,pomegranate
74,60,56,18.32,59.78,7.15,87.56,wheat
140,31,68,23.24,70.81,6.38,66.94,cotton
94,32,54,26.86,87.01,6.59,17.08,watermelon
114,9,51,25.99,83.92,5.89,44.7,watermelon
73,58,45,21.74,62.45,6.1,131.9,maize
56,42,46,30.84,86.58,5.48,75.59,papaya
0,16,207,22.7,78.04,6.5,99.81,orange
43,52,55,24.59,94.88,6.82,138.96,papaya
21,72,42,22.55,52.6,5.6,0.0,mothbeans
28,150,181,22.2,86.58,6.67,79.51,grapes
83,66,21,23.55,84.08,6.89,174.08,rice
48,63,91,28.35,74.51,6.21,115.64,papaya
22,75,88,17.91,54.66,7.13,61.53,chickpea
10,81,48,20.34,63.01,5.75,130.45,pigeonpeas
15,65,19,27.66,41.39,6.12,75.91,mothbeans
17,1,190,26.84,89.36,6.64,92.34,orange
74,58,67,23.55,83.99,6.27,183.75,rice
25,84,8,22.76,79.21,6.66,101.03,pomegranate
77,47,47,24.01,94.55,6.6,167.0,jute
40,23,26,32.88,60.18,5.66,56.81,mango
83,50,37,23.67,64.29,6.31,98.53,maize
20,14,192,22.11,78.48,6.07,149.05,orange
0,11,28,32.0,56.51,6.8,64.11,mango
90,22,43,24.83,75.58,6.78,72.22,muskmelon
38,52,45,23.7,100.0,5.91,105.5,papaya
18,28,52,27.74,41.68,5.0,86.24,mango
107,18,46,26.7,75.11,7.57,78.59,cotton
53,77,24,19.46,52.62,6.34,53.22,kidneybeans
73,71,12,26.59,70.86,6.03,64.37,banana
51,72,36,23.28,76.04,7.09,143.9,papaya
43,12,15,33.94,79.37,6.87,164.05,coconut
13,80,51,19.35,74.47,5.21,106.68,kidneybeans
89,48,44,21.19,82.69,6.42,234.19,rice
73,63,41,19.77,76.28,6.84,186.74,rice
3,16,196,18.98,86.22,5.96,106.68,orange
75,32,39,25.05,84.09,6.22,54.1,muskmelon
117,62,46,19.58,78.68,6.07,97.3,cotton
22,57,87,17.15,53.71,6.32,96.2,chickpea
26,25,10,24.73,88.91,7.69,175.08,coconut
32,22,23,32.03,84.7,6.88,201.29,coconut
19,41,35,31.02,53.97,5.97,83.41,mango
31,69,99,16.28,38.26,7.08,76.27,chickpea
62,43,49,29.01,68.16,5.9,116.12,maize
5,71,21,24.76,53.6,6.7,44.01,mungbean
27,117,204,22.63,88.37,6.89,62.61,grapes
79,37,1,25.46,76.42,7.11,140.18,coffee
53,76,16,23.72,68.15,7.41,44.21,blackgram
22,69,17,30.91,68.35,7.11,28.23,blackgram
31,15,190,27.2,90.14,6.52,69.93,orange
2,5,194,26.62,87.53,5.6,98.79,orange
108,12,38,24.56,81.36,6.32,109.14,watermelon
94,46,21,30.79,85.9,6.18,151.28,coffee
43,73,52,21.32,60.49,5.39,66.95,kidneybeans
31,20,18,23.23,58.45,6.09,74.55,mango
76,54,37,24.81,62.25,6.81,95.76,maize
1,83,26,25.8,53.87,7.3,53.34,mungbean
80,59,57,23.7,63.37,6.06,84.33,maize
33,21,22,21.34,82.02,6.16,133.52,coconut
20,85,44,19.41,54.75,6.01,161.82,pigeonpeas
15,74,38,11.29,48.03,5.5,76.44,kidneybeans
28,36,216,21.67,84.43,6.42,144.61,orange
124,60,49,23.2,93.3,6.77,121.28,cotton
10,72,33,21.6,55.58,5.25,130.53,pigeonpeas
86,85,50,26.48,90.71,5.65,71.26,banana
34,58,3,22.61,47.21,6.74,52.48,blackgram
34,74,30,25.0,83.48,5.99,2.23,lentil
41,141,199,20.24,72.01,6.64,83.56,grapes
94,44,16,22.92,87.03,6.07,119.44,coffee
19,69,40,12.81,76.96,5.82,76.08,kidneybeans
30,7,37,29.65,56.71,5.51,94.01,mango
98,39,58,27.92,81.8,6.21,90.14,watermelon
33,13,49,27.69,64.15,6.09,96.3,mango
21,132,184,29.54,89.52,6.4,64.88,grapes
13,62,4,25.23,65.33,5.83,33.62,lentil
80,58,36,23.97,80.96,6.55,219.88,rice
13,34,23,28.84,77.81,5.02,136.92,coconut
24,31,58,25.8,54.17,5.41,129.8,mango
79,52,52,23.59,68.12,6.45,111.63,maize
117,35,54,25.65,85.81,6.67,78.22,cotton
21,42,35,18.88,50.14,5.93,173.94,pigeonpeas
29,70,44,29.6,73.36,6.4,107.28,papaya
26,72,10,25.82,78.96,6.45,146.17,pomegranate
35,24,31,29.19,55.65,6.24,96.69,mango
93,6,17,23.07,81.65,6.54,151.58,coffee
7,57,12,25.17,60.62,6.89,80.93,blackgram
21,61,61,15.43,60.56,5.9,34.95,kidneybeans
23,62,17,23.47,53.24,6.4,48.51,mungbean
102,25,53,28.37,88.47,5.61,70.92,watermelon
64,62,78,19.78,46.39,7.1,56.04,chickpea
19,4,201,22.33,91.19,7.27,124.21,orange
19,49,31,23.56,57.57,6.08,125.12,pigeonpeas
89,64,51,24.95,79.48,6.88,185.68,rice
116,44,19,25.16,84.35,7.3,65.29,cotton
40,152,203,17.98,94.31,7.28,144.24,apple
120,80,66,26.43,86.8,4.89,165.47,banana
16,130,197,21.01,92.23,5.64,135.93,apple
78,22,53,29.66,99.25,5.82,53.69,watermelon
104,60,72,23.03,86.73,7.11,110.43,cotton
75,54,41,27.29,67.85,7.33,188.13,jute
7,53,17,23.62,85.82,6.35,125.83,pomegranate
52,54,90,24.61,41.02,6.54,100.44,chickpea
13,42,35,25.0,66.15,6.36,160.73,pigeonpeas
106,19,21,22.27,91.13,5.93,133.65,coffee
1,73,28,25.15,42.04,6.62,20.42,mothbeans
55,140,190,23.15,74.9,7.27,39.5,grapes
31,62,16,24.86,50.69,6.32,23.51,lentil
53,79,71,20.11,55.47,6.9,101.82,chickpea
81,35,24,21.99,95.35,6.37,167.42,rice
93,77,76,26.26,85.88,6.0,58.79,banana
51,35,34,21.36,91.54,6.91,121.09,papaya
0,72,43,22.94,83.2,6.65,96.03,pomegranate
38,59,4,27.54,90.86,7.13,130.02,pomegranate
96,49,42,26.12,66.87,6.98,112.18,maize
28,148,213,21.62,95.14,6.31,86.92,apple
40,86,37,24.87,85.26,6.94,128.3,pomegranate
21,23,210,23.07,81.27,5.4,93.43,orange
44,60,27,23.04,55.69,6.18,154.79,pigeonpeas
28,64,10,27.97,56.1,7.96,30.4,mungbean
82,14,48,24.5,96.77,5.34,83.65,muskmelon
31,13,181,25.52,80.7,7.2,79.43,orange
2,76,30,26.2,74.33,6.17,22.63,blackgram
98,0,53,29.05,86.07,4.51,18.36,muskmelon
17,11,2,29.98,83.6,5.88,129.34,coconut
46,57,70,23.38,40.48,7.82,52.48,chickpea
9,48,12,23.82,68.63,6.44,26.35,mungbean
106,84,69,27.73,76.77,6.0,107.94,banana
6,72,14,27.54,95.49,6.93,117.65,pomegranate
12,79,25,27.52,57.66,7.05,20.88,blackgram
47,86,84,19.06,49.99,6.37,90.11,chickpea
20,14,198,25.61,82.38,6.08,101.54,orange
34,54,49,14.99,58.98,5.07,52.46,kidneybeans
0,55,6,23.23,45.7,6.9,3.52,mothbeans
76,49,40,24.89,72.68,6.52,60.75,wheat
31,138,203,26.99,84.6,6.35,63.43,grapes
9,103,30,27.31,88.94,5.7,119.87,pomegranate
92,39,39,13.28,73.8,6.37,173.81,rice
55,67,64,20.16,51.9,6.94,103.36,wheat
113,80,47,28.33,86.53,6.3,131.0,banana
23,75,88,17.59,57.16,6.68,81.33,chickpea
0,66,21,18.49,96.11,6.57,119.53,pomegranate
25,63,36,22.53,48.7,6.24,60.48,lentil
80,38,46,23.6,77.2,6.53,195.37,rice
6,72,52,14.24,66.48,6.27,65.31,kidneybeans
7,63,24,24.41,53.05,5.94,78.02,blackgram
15,62,12,26.84,59.92,7.1,69.01,blackgram
31,61,67,21.32,56.23,7.23,116.86,chickpea
56,50,42,23.74,55.96,6.31,124.91,wheat
65,29,44,23.41,72.16,5.87,179.02,jute
103,47,35,24.84,85.09,6.67,241.2,jute
15,71,4,24.67,54.42,6.84,1.58,mothbeans
21,72,91,18.74,29.17,7.1,85.92,chickpea
0,14,195,23.71,100.0,6.15,101.5,orange
87,29,58,19.01,73.26,7.06,77.73,maize
12,21,33,25.96,66.98,6.41,146.1,coconut
38,46,58,26.97,93.63,6.0,68.7,papaya
28,53,42,26.39,58.59,6.48,144.07,pigeonpeas
48,15,49,32.68,53.76,5.09,89.52,mango
8,19,26,24.77,49.48,5.91,87.13,mango
12,22,10,27.08,91.0,6.47,140.23,coconut
16,130,200,20.23,92.63,6.23,121.71,apple
106,39,62,18.52,92.94,6.33,65.69,cotton
40,69,37,25.99,64.56,6.54,60.18,blackgram
25,49,12,21.29,66.47,6.56,12.86,lentil
22,15,28,30.88,39.96,5.22,74.08,mango
46,19,40,29.32,68.33,5.66,74.65,mango
20,2,45,29.82,53.45,6.45,100.56,mango
89,2,21,22.64,73.73,6.32,146.66,coffee
86,23,58,22.38,89.18,5.73,45.18,muskmelon
4,72,8,20.11,51.09,6.32,150.57,pigeonpeas
98,52,44,28.54,79.23,6.88,192.1,jute
16,14,28,29.88,84.22,6.46,161.61,coconut
125,56,24,30.3,75.4,6.03,78.62,cotton
103,83,51,25.09,79.54,6.56,107.85,banana
3,64,3,30.08,70.73,6.13,93.35,blackgram
34,29,13,31.16,79.94,7.2,161.06,coconut
36,135,202,21.26,94.56,6.16,134.84,apple
87,67,52,29.46,75.86,6.94,209.58,rice
36,31,33,22.94,55.15,6.62,103.19,mango
102,33,0,19.58,81.15,6.89,133.22,coffee
49,73,30,21.85,53.72,6.17,186.28,pigeonpeas
38,60,33,26.36,44.31,6.86,67.27,mungbean
32,0,28,26.53,53.38,6.49,97.63,mango
128,50,57,22.55,73.46,6.57,126.23,cotton
143,41,76,20.99,88.67,6.14,63.23,cotton
3,74,4,22.4,89.01,6.01,150.13,pomegranate
48,36,80,20.98,57.39,6.49,77.14,chickpea
57,56,57,27.75,82.43,6.58,128.92,papaya
0,38,4,25.23,92.26,6.82,122.3,coconut
8,69,25,20.47,67.42,5.61,30.55,lentil
84,73,60,22.57,88.46,5.73,95.29,banana
93,56,44,27.6,80.71,6.99,190.35,jute
15,85,17,25.93,53.21,6.43,152.0,pigeonpeas
3,134,190,27.22,81.8,6.8,110.27,grapes
31,47,24,24.44,51.82,6.77,37.28,mungbean
83,58,48,27.32,77.05,6.26,135.15,jute
27,16,186,23.58,100.0,6.56,91.82,orange
73,35,26,25.48,51.26,6.97,93.83,wheat
122,39,47,22.97,76.58,7.5,73.99,cotton
113,75,34,28.38,89.72,7.45,45.29,cotton
19,0,36,33.82,57.22,5.58,91.11,mango
95,14,24,30.65,76.18,6.84,167.39,coffee
92,75,58,27.77,69.41,5.78,126.94,banana
61,61,58,23.02,44.52,7.4,25.75,chickpea
43,50,12,21.01,45.97,6.55,90.15,lentil
98,24,9,26.97,90.87,7.03,165.15,coffee
36,42,23,32.82,97.76,5.99,94.3,papaya
56,73,14,20.47,88.75,7.39,103.82,pomegranate
115,59,67,26.4,87.38,6.96,98.78,cotton
25,141,219,26.19,79.33,7.19,20.2,grapes
43,61,77,25.02,60.72,6.35,95.74,chickpea
28,52,75,20.54,54.76,6.72,64.68,chickpea
42,60,27,26.26,54.09,6.11,180.87,pigeonpeas
65,69,33,24.7,63.99,6.33,49.88,lentil
50,46,37,27.54,88.34,6.76,154.26,papaya
28,17,48,25.55,48.99,6.76,93.28,mango
63,63,42,23.97,62.38,6.58,125.63,maize
31,152,201,23.88,84.55,6.65,143.24,apple
24,38,22,28.22,58.83,5.71,93.81,mango
102,77,51,27.45,75.37,5.55,93.78,banana
79,70,55,27.88,86.06,5.85,191.57,jute
91,45,42,22.63,38.67,6.68,77.95,wheat
102,60,40,24.96,73.63,6.1,100.99,banana
54,43,28,23.94,74.74,5.79,241.64,rice
100,77,91,29.03,76.73,5.47,57.99,banana
8,31,30,24.87,59.14,5.89,149.44,pigeonpeas
4,16,27,28.25,81.92,6.6,152.68,coconut
48,81,97,18.92,39.39,6.79,81.51,chickpea
84,83,64,16.03,53.85,7.27,88.72,chickpea
65,67,39,24.87,67.08,6.43,125.27,maize
43,72,100,23.21,51.53,7.47,49.19,chickpea
108,7,48,25.99,87.05,5.94,86.3,watermelon
18,33,17,31.04,51.93,5.62,154.65,mango
49,61,62,20.33,69.42,5.92,58.79,kidneybeans
99,57,38,26.09,62.33,7.09,114.24,maize
49,46,52,29.9,77.76,6.09,116.24,papaya
26,143,198,25.14,79.68,6.45,81.47,grapes
73,38,55,23.64,47.62,6.92,91.62,maize
45,67,24,22.69,61.46,6.72,42.54,lentil
33,66,19,28.44,58.91,7.11,98.26,blackgram
9,99,41,23.91,62.06,6.18,55.81,lentil
82,25,33,23.88,92.52,6.77,140.15,coffee
101,62,29,24.43,80.28,6.55,197.91,jute
89,40,12,25.65,80.93,6.87,172.52,coffee
19,78,23,24.63,41.27,6.62,75.89,mothbeans
36,65,26,16.65,75.06,5.53,73.96,kidneybeans
108,58,48,18.6,60.66,6.11,89.48,maize
97,96,52,29.14,88.25,6.19,80.74,banana
19,78,33,25.76,39.26,6.49,42.34,mungbean
15,87,0,17.79,85.72,6.28,110.19,pomegranate
34,58,34,18.51,69.09,7.19,101.56,maize
0,79,43,19.52,96.41,4.76,108.12,kidneybeans
91,42,74,32.49,83.46,5.61,0.0,watermelon
14,135,205,18.95,94.99,7.32,105.68,apple
111,44,66,20.19,74.66,6.22,84.61,cotton
55,67,76,20.46,43.32,8.04,34.81,chickpea
35,23,48,28.21,83.87,6.07,131.39,coconut
0,72,20,23.75,92.93,6.87,117.45,pomegranate
27,85,30,19.63,66.6,5.93,96.81,kidneybeans
97,60,16,26.76,64.56,6.72,178.55,coffee
26,61,24,27.35,57.49,7.67,83.22,blackgram
133,44,34,18.95,90.53,6.02,76.86,cotton
20,83,18,30.19,57.81,6.67,28.22,mungbean
14,0,225,22.59,95.25,6.88,96.51,orange
38,78,75,15.18,64.0,7.69,42.69,chickpea
20,146,212,25.11,67.95,6.48,60.25,grapes
19,119,203,24.56,83.11,5.99,34.97,grapes
28,80,47,19.45,74.88,6.13,181.88,pigeonpeas
0,84,14,22.18,45.88,7.37,12.76,lentil
21,65,76,27.28,53.46,6.31,60.88,chickpea
96,50,70,23.18,56.54,6.65,98.34,wheat
80,32,35,22.96,42.26,7.02,94.51,wheat
45,73,29,22.12,95.29,6.37,116.94,pomegranate
100,40,73,22.43,95.35,5.88,58.66,cotton
93,18,21,24.55,75.13,5.91,148.96,coffee
17,52,35,26.51,54.85,6.92,61.71,blackgram
85,48,52,26.17,59.46,6.81,62.2,wheat
23,71,12,19.02,54.03,5.47,42.07,mothbeans
96,55,38,24.32,32.21,7.37,51.51,wheat
87,35,35,27.74,53.47,6.91,116.75,wheat
12,65,24,25.37,60.64,7.01,145.91,pomegranate
73,55,23,20.62,55.45,6.57,148.31,maize
5,55,15,19.9,42.21,6.85,17.32,mothbeans
109,49,57,26.01,72.45,6.01,62.08,cotton
36,60,32,26.11,99.82,6.29,82.56,pomegranate
84,47,21,23.6,70.83,6.17,175.83,jute
43,82,74,14.37,54.96,6.68,45.26,chickpea
72,54,53,21.59,76.94,6.36,104.47,maize
42,66,31,24.97,53.26,6.26,138.06,pigeonpeas
49,77,57,13.97,54.07,5.73,77.57,kidneybeans
80,36,57,23.13,91.11,6.46,53.11,muskmelon
91,37,53,26.32,82.99,6.82,44.12,muskmelon
104,75,56,25.37,75.96,5.24,128.16,banana
11,85,8,23.15,68.05,6.59,68.03,blackgram
14,74,0,25.98,43.57,6.65,43.81,mothbeans
59,65,41,25.35,57.74,7.03,109.24,wheat
12,74,21,20.1,59.77,5.68,144.1,pigeonpeas
94,38,28,28.3,69.93,6.7,131.81,coffee
40,60,88,21.26,53.94,6.74,21.17,chickpea
24,66,21,32.55,58.05,6.31,22.5,mungbean
13,5,208,24.71,90.45,7.28,116.56,orange
98,48,33,31.87,90.25,5.76,90.73,muskmelon
106,1,33,20.47,81.84,6.11,203.57,coffee
51,38,29,27.37,82.43,6.31,105.57,papaya
38,51,9,17.14,78.74,6.88,99.65,pomegranate
43,69,8,21.74,43.22,5.81,69.46,mungbean
86,73,42,23.77,81.4,5.54,204.34,rice
15,0,191,21.42,84.2,6.34,93.34,orange
89,31,33,21.69,57.48,6.91,100.15,maize
2,47,14,29.03,54.74,6.96,56.88,mango
27,12,23,26.01,92.04,6.67,142.12,coconut
12,151,205,24.32,78.0,6.65,82.01,grapes
69,39,61,27.88,65.11,6.12,181.06,jute
0,59,16,24.25,38.48,6.01,98.05,pigeonpeas
12,75,23,21.05,49.95,6.89,45.29,mothbeans
40,51,50,28.79,73.36,6.56,64.34,papaya
12,20,36,32.3,56.15,6.17,92.12,mango
27,59,31,21.56,76.49,5.68,66.15,kidneybeans
104,42,57,26.82,89.76,6.13,99.9,cotton
80,44,44,17.96,47.23,7.4,78.58,wheat
43,15,26,26.01,49.06,6.26,90.19,mango
94,9,44,23.46,89.39,5.96,7.37,muskmelon
17,29,2,25.75,70.83,6.15,166.05,coconut
71,66,34,32.53,88.06,6.58,140.37,papaya
80,28,47,25.69,84.74,6.52,77.37,watermelon
89,65,44,30.25,79.8,6.31,146.62,banana
53,33,73,27.69,83.83,6.02,100.6,papaya
44,143,181,26.52,100.0,6.51,143.07,apple
29,26,25,30.7,47.58,6.64,74.14,mango
30,76,40,23.86,68.11,6.19,157.79,pigeonpeas
118,71,64,23.54,85.72,6.3,85.85,cotton
29,44,48,29.52,76.94,6.12,112.77,papaya
116,24,26,30.93,79.4,7.06,191.78,coffee
38,44,36,22.57,90.75,6.61,100.26,papaya
10,51,7,26.98,87.04,6.44,97.27,pomegranate
0,3,203,26.02,91.29,6.67,91.57,orange
52,37,18,29.18,85.97,6.88,112.5,pomegranate
122,84,50,31.91,68.55,5.36,64.6,banana
38,75,25,26.72,68.6,6.87,73.9,blackgram
72,59,47,22.94,82.94,7.14,190.21,rice
18,52,13,25.69,78.0,7.14,140.68,coconut
72,44,18,26.24,56.42,6.62,156.85,maize
88,28,47,31.77,89.01,6.26,54.74,watermelon
48,71,32,35.93,69.78,7.02,78.06,blackgram
104,23,62,22.63,54.23,6.53,104.98,wheat
37,124,190,27.06,69.68,6.35,83.22,grapes
30,3,209,24.49,76.92,6.04,96.25,orange
38,21,38,28.69,63.57,6.15,73.01,mango
57,37,26,19.07,63.43,6.33,160.81,wheat
8,140,208,22.43,100.0,6.73,132.84,apple
46,66,9,16.92,64.49,5.29,52.12,kidneybeans
83,20,28,27.98,80.14,7.74,170.6,coffee
17,39,18,27.02,68.12,6.92,51.99,blackgram
54,46,38,27.23,63.44,6.52,187.84,jute
108,10,50,27.89,80.78,5.49,42.86,muskmelon
7,49,22,24.84,96.92,5.86,138.87,pomegranate
28,28,26,32.04,49.32,4.94,79.4,mango
72,42,18,26.71,67.03,6.12,189.71,jute
103,45,47,24.69,69.68,6.87,147.63,jute
132,51,76,22.69,72.8,6.71,68.13,cotton
78,50,22,27.0,81.45,7.0,175.0,jute
125,42,39,25.43,81.74,6.11,49.04,cotton
17,59,6,23.88,48.2,6.97,46.38,lentil
28,90,17,28.21,56.54,7.7,0.0,mungbean
70,44,33,20.41,82.39,6.08,211.76,rice
43,57,41,22.15,50.99,5.31,158.07,pigeonpeas
107,25,48,33.49,88.95,5.52,56.21,muskmelon
72,14,35,29.24,76.1,6.22,45.34,muskmelon
99,33,17,26.16,86.56,7.0,192.15,coffee
28,75,42,17.77,55.44,6.53,110.18,kidneybeans
25,121,196,24.01,69.0,6.27,84.69,grapes
38,52,57,22.94,60.5,6.73,122.21,pigeonpeas
125,83,70,26.52,78.05,6.03,101.88,banana
93,74,56,30.93,89.37,5.37,137.23,banana
55,151,200,24.6,76.91,7.76,95.24,apple
7,156,197,18.99,87.13,5.85,145.85,apple
21,122,199,19.78,79.39,7.25,59.72,grapes
98,11,14,26.14,75.74,6.51,168.5,coffee
120,81,34,25.54,68.1,5.44,114.72,banana
62,46,23,33.47,66.77,6.5,203.58,jute
71,16,37,24.14,78.0,6.76,196.91,jute
69,36,60,30.46,77.21,7.49,105.79,papaya
1,28,27,31.67,69.91,4.93,72.51,mango
43,92,80,19.43,47.14,6.91,109.32,chickpea
62,62,35,31.27,93.36,6.03,139.97,papaya
21,93,60,24.66,63.73,5.95,27.08,kidneybeans
24,67,16,30.57,59.43,6.37,62.05,mungbean
92,80,59,30.83,84.56,6.05,142.45,banana
33,115,217,18.42,74.52,6.45,85.31,grapes
93,25,47,24.73,100.0,5.76,0.0,muskmelon
101,11,53,23.27,77.44,6.82,29.61,watermelon
57,87,68,17.57,39.94,6.88,86.66,chickpea
60,51,47,26.08,66.41,6.32,84.31,maize
12,72,29,35.15,61.62,7.08,22.35,mungbean
0,86,29,22.77,60.14,7.78,96.19,blackgram
93,54,47,28.82,78.8,5.94,207.53,jute
4,138,200,25.82,80.52,6.79,54.64,grapes
94,5,20,24.88,93.9,5.8,45.77,muskmelon
86,34,38,22.82,82.86,6.67,187.03,jute
0,14,227,20.01,87.72,5.24,92.48,orange
22,143,190,20.62,92.79,6.67,122.69,apple
52,46,50,25.95,93.87,7.21,96.67,papaya
60,30,45,25.14,68.47,6.57,121.97,wheat
15,138,216,21.76,91.72,6.45,140.93,apple
0,14,21,29.76,49.91,6.37,82.8,mango
94,84,38,28.31,73.9,5.93,126.95,banana
67,50,21,21.92,61.73,6.24,108.81,maize
37,71,0,22.41,45.51,6.74,0.0,mothbeans
0,67,22,27.84,63.84,7.02,85.57,blackgram
1,68,33,21.43,67.28,7.06,23.51,mungbean
92,87,59,33.58,87.65,5.97,82.74,banana
28,70,8,27.86,55.14,7.7,26.1,blackgram
40,20,20,34.77,49.0,4.92,101.46,mango
20,56,37,26.8,61.42,6.43,114.59,pigeonpeas
31,58,38,27.01,47.46,6.81,141.95,pigeonpeas
114,26,44,21.07,81.04,6.35,47.18,watermelon
3,73,10,26.45,65.6,6.91,38.95,mungbean
26,14,22,29.2,95.93,6.66,127.73,coconut
119,11,61,33.43,94.72,6.05,41.71,muskmelon
18,41,24,23.18,67.76,5.95,29.52,lentil
27,2,8,33.16,88.68,6.13,160.46,coconut
88,63,59,25.92,73.87,5.65,201.04,jute
26,76,15,24.42,59.64,6.04,42.16,lentil
29,0,183,23.98,72.71,7.12,130.52,orange
46,10,29,28.64,45.66,5.84,117.69,mango
0,84,22,30.51,54.18,6.08,53.77,mungbean
102,0,49,28.69,84.31,5.72,26.34,muskmelon
6,58,28,22.67,78.17,6.18,127.47,pomegranate
91,57,45,22.31,54.5,6.42,87.98,wheat
13,100,20,23.79,53.93,6.76,76.83,mungbean
37,129,200,20.68,77.6,6.12,84.59,grapes
63,46,19,24.64,65.01,6.09,121.48,maize
97,29,31,25.45,71.89,5.87,80.29,muskmelon
64,56,37,25.14,85.79,6.46,183.83,rice
135,51,44,23.46,66.03,6.41,102.21,cotton
103,70,72,23.3,77.03,6.81,98.77,cotton
6,76,10,27.38,56.75,7.41,39.08,blackgram
6,53,33,26.83,53.9,7.04,28.02,mothbeans
60,56,35,21.81,58.17,6.13,182.1,pigeonpeas
104,7,58,26.81,65.06,6.33,22.08,muskmelon
0,52,36,23.17,54.63,5.87,31.12,lentil
33,47,52,26.7,100.0,6.08,129.49,papaya
29,75,31,25.19,82.5,6.1,103.78,pomegranate
123,35,20,22.34,79.29,6.4,118.54,coffee
89,53,33,22.38,78.06,6.21,226.24,rice
20,26,19,26.77,46.01,7.02,103.26,mango
91,16,60,22.26,99.22,6.24,48.94,muskmelon
75,39,55,28.94,72.93,6.42,171.41,jute
25,66,24,25.32,91.67,7.14,111.95,pomegranate
16,64,26,24.87,34.04,5.94,73.24,mothbeans
8,0,194,26.27,95.52,6.4,117.09,orange
17,41,42,30.83,84.93,7.07,66.88,papaya
86,95,60,29.93,80.07,5.29,129.45,banana
10,146,180,21.58,93.42,6.28,42.13,grapes
6,68,33,9.21,81.42,6.34,55.59,kidneybeans
78,46,46,23.11,66.35,7.16,79.84,maize
34,56,38,20.64,48.69,6.0,144.61,pigeonpeas
18,63,28,21.89,48.51,5.44,156.47,pigeonpeas
9,117,208,20.15,77.35,6.73,73.35,grapes
27,50,18,25.56,61.62,7.04,0.0,mungbean
16,135,204,20.23,91.54,6.43,107.64,apple
122,45,51,23.44,68.81,6.59,51.79,cotton
64,48,41,24.54,87.69,5.94,166.65,rice
0,61,0,28.11,41.31,7.13,73.65,mothbeans
94,19,60,29.01,89.0,6.25,72.11,muskmelon
2,33,45,21.72,50.88,6.12,148.49,pigeonpeas
65,49,34,28.17,75.82,6.48,187.67,jute
18,70,34,22.17,51.94,6.63,0.17,lentil
46,69,36,19.93,56.45,6.36,42.14,lentil
18,129,217,25.51,90.86,5.86,79.35,apple
